isc_event_id,time_utc,latitude,longitude,depth_km,author,catalog,contributor,contributor_id,mag_type,magnitude,mag_author,place,event_type,id,source,status,net,nst,dmin,rms,gap,updated_utc,url,type
319478,1991-09-10 06:54:06.007000+00:00,24.2147,68.6826,35.0,ISC,ISC,ISC,693619,MS,4.18,ISC,India-Pakistan border region,earthquake,isc_319478,isc,,,,,,,,,
319481,1991-09-10 07:20:07.003000+00:00,24.3622,68.8672,25.0,ISC,ISC,ISC,693628,MS,4.45,ISC,India-Pakistan border region,earthquake,isc_319481,isc,,,,,,,,,
979087,1996-08-05 22:15:38.073000+00:00,22.9954,68.3784,17.5,ISC,ISC,ISC,2113279,mb,3.91,ISC,Southern India,earthquake,isc_979087,isc,,,,,,,,,
1310717,1998-10-08 15:01:17.873000+00:00,24.4452,69.5807,35.0,ISC,ISC,ISC,2713198,mb,3.84,ISC,India-Pakistan border region,earthquake,isc_1310717,isc,,,,,,,,,
2161010,1999-07-22 18:07:09.600000+00:00,24.453,70.765,10.0,NDI,NDI,NDI,3467350,ML,4.0,NDI,India-Pakistan border region,earthquake,isc_2161010,isc,,,,,,,,,
2162330,1999-09-21 14:33:23.300000+00:00,24.19,68.395,15.0,NDI,NDI,NDI,3468099,ML,3.3,NDI,India-Pakistan border region,earthquake,isc_2162330,isc,,,,,,,,,
3167137,2000-09-15 12:32:09.800000+00:00,24.157,71.142,15.0,NDI,NDI,NDI,4145255,ML,3.4,NDI,Northern India,earthquake,isc_3167137,isc,,,,,,,,,
1743316,2000-12-24 11:22:03.112000+00:00,23.9983,69.9573,35.0,ISC,ISC,ISC,4413832,mb,4.11,ISC,Southern India,earthquake,isc_1743316,isc,,,,,,,,,
1763683,2001-01-26 03:16:42.567000+00:00,23.3777,70.3405,16.0,ISC,ISC,ISC,4494195,MW,7.62,GCMT,Southern India,earthquake,isc_1763683,isc,,,,,,,,,
1835512,2001-01-26 03:33:32.203000+00:00,23.4237,70.1824,15.0,ISC,ISC,ISC,4494197,mb,5.34,ISC,Southern India,earthquake,isc_1835512,isc,,,,,,,,,
1835514,2001-01-26 03:59:02.391000+00:00,23.2884,70.1599,10.0,ISC,ISC,ISC,4494203,MW,4.6,NDI,Southern India,earthquake,isc_1835514,isc,,,,,,,,,
3523322,2001-01-26 04:19:49.600000+00:00,23.509,70.166,31.1,NDI,NDI,NDI,4427636,ML,3.9,NDI,Southern India,earthquake,isc_3523322,isc,,,,,,,,,
1763685,2001-01-26 04:23:45.297000+00:00,23.4341,70.2604,19.7,ISC,ISC,ISC,4494205,mb,5.15,ISC,Southern India,earthquake,isc_1763685,isc,,,,,,,,,
1763687,2001-01-26 04:48:17.682000+00:00,23.3851,70.418,16.2,ISC,ISC,ISC,4494207,mb,5.03,ISC,Southern India,earthquake,isc_1763687,isc,,,,,,,,,
2754004,2001-01-26 04:53:01.681000+00:00,23.5076,70.4681,15.0,ISC,ISC,ISC,4494208,mb,4.86,ISC,Southern India,earthquake,isc_2754004,isc,,,,,,,,,
3523328,2001-01-26 05:01:48.300000+00:00,22.825,70.018,2.0,NDI,NDI,NDI,4427640,ML,4.2,NDI,Southern India,earthquake,isc_3523328,isc,,,,,,,,,
3523330,2001-01-26 05:31:58.300000+00:00,23.03,70.346,18.8,NDI,NDI,NDI,4427641,ML,4.4,NDI,Southern India,earthquake,isc_3523330,isc,,,,,,,,,
1763689,2001-01-26 05:59:10.211000+00:00,23.4111,70.3664,15.0,ISC,ISC,ISC,4494215,mb,4.8,ISC,Southern India,earthquake,isc_1763689,isc,,,,,,,,,
1763691,2001-01-26 06:04:54.197000+00:00,23.412,70.2237,17.5,ISC,ISC,ISC,4494216,mb,4.96,ISC,Southern India,earthquake,isc_1763691,isc,,,,,,,,,
3523336,2001-01-26 06:44:08.200000+00:00,23.705,70.109,15.0,NDI,NDI,NDI,4427645,ML,4.5,NDI,Southern India,earthquake,isc_3523336,isc,,,,,,,,,
3009366,2001-01-26 06:48:50.221000+00:00,23.6262,70.3626,15.0,ISC,ISC,ISC,4494220,mb,4.42,ISC,Southern India,earthquake,isc_3009366,isc,,,,,,,,,
1763693,2001-01-26 07:32:31.381000+00:00,23.4647,70.1789,9.3,ISC,ISC,ISC,4494221,MS,5.49,ISC,Southern India,earthquake,isc_1763693,isc,,,,,,,,,
2754018,2001-01-26 07:49:00.711000+00:00,23.4636,70.9636,35.0,ISC,ISC,ISC,4494222,mb,4.75,ISC,Southern India,earthquake,isc_2754018,isc,,,,,,,,,
2745759,2001-01-26 08:03:19.309000+00:00,23.5259,70.537,15.0,ISC,ISC,ISC,4494225,MW,4.3,NDI,Southern India,earthquake,isc_2745759,isc,,,,,,,,,
2040184,2001-01-26 08:42:25.853000+00:00,23.3623,70.5915,15.0,ISC,ISC,ISC,4494231,MW,4.4,NDI,Southern India,earthquake,isc_2040184,isc,,,,,,,,,
1763695,2001-01-26 09:08:24.983000+00:00,23.3699,70.4843,12.1,ISC,ISC,ISC,4494238,MW,4.5,NDI,Southern India,earthquake,isc_1763695,isc,,,,,,,,,
3523348,2001-01-26 10:21:27.700000+00:00,23.308,70.226,8.0,NDI,NDI,NDI,4427656,ML,3.9,NDI,Southern India,earthquake,isc_3523348,isc,,,,,,,,,
3523350,2001-01-26 11:54:42.300000+00:00,23.365,70.14,18.7,NDI,NDI,NDI,4427657,ML,3.9,NDI,Southern India,earthquake,isc_3523350,isc,,,,,,,,,
3409551,2001-01-26 12:11:53.700000+00:00,23.288,70.403,15.0,NDI,NDI,NDI,4327222,ML,3.8,NDI,Southern India,earthquake,isc_3409551,isc,,,,,,,,,
3409553,2001-01-26 12:23:52.400000+00:00,23.527,71.058,33.0,NDI,NDI,NDI,4327223,ML,3.3,NDI,Southern India,earthquake,isc_3409553,isc,,,,,,,,,
2754039,2001-01-26 12:55:07.023000+00:00,23.4824,70.4023,15.0,ISC,ISC,ISC,4494258,mb,4.36,ISC,Southern India,earthquake,isc_2754039,isc,,,,,,,,,
2754043,2001-01-26 13:30:25.244000+00:00,23.4706,70.5925,15.0,ISC,ISC,ISC,4494260,mb,4.39,ISC,Southern India,earthquake,isc_2754043,isc,,,,,,,,,
3523354,2001-01-26 14:11:29.800000+00:00,23.394,70.487,15.8,NDI,NDI,NDI,4427660,ML,3.8,NDI,Southern India,earthquake,isc_3523354,isc,,,,,,,,,
1763699,2001-01-26 15:11:01.924000+00:00,23.3269,70.3049,19.0,ISC,ISC,ISC,4494269,MS,4.17,ISC,Southern India,earthquake,isc_1763699,isc,,,,,,,,,
3523364,2001-01-26 15:38:17.100000+00:00,23.618,70.226,15.0,NDI,NDI,NDI,4427666,ML,3.7,NDI,Southern India,earthquake,isc_3523364,isc,,,,,,,,,
3523366,2001-01-26 15:42:25.100000+00:00,23.247,70.233,5.0,NDI,NDI,NDI,4427667,ML,3.7,NDI,Southern India,earthquake,isc_3523366,isc,,,,,,,,,
3523368,2001-01-26 15:47:09+00:00,23.567,70.43,5.0,NDI,NDI,NDI,4427668,ML,4.3,NDI,Southern India,earthquake,isc_3523368,isc,,,,,,,,,
3523370,2001-01-26 16:42:50.900000+00:00,23.544,70.569,5.0,NDI,NDI,NDI,4427669,ML,3.4,NDI,Southern India,earthquake,isc_3523370,isc,,,,,,,,,
3523372,2001-01-26 16:46:56.100000+00:00,23.782,70.49,5.0,NDI,NDI,NDI,4427670,ML,3.6,NDI,Southern India,earthquake,isc_3523372,isc,,,,,,,,,
3523374,2001-01-26 17:21:35.700000+00:00,23.168,70.283,15.0,NDI,NDI,NDI,4427671,ML,3.4,NDI,Southern India,earthquake,isc_3523374,isc,,,,,,,,,
3523376,2001-01-26 18:02:30.700000+00:00,23.867,70.202,10.0,NDI,NDI,NDI,4427672,ML,3.6,NDI,Southern India,earthquake,isc_3523376,isc,,,,,,,,,
1763705,2001-01-26 18:19:46.107000+00:00,23.4298,70.6003,13.4,ISC,ISC,ISC,4494287,MS,3.84,ISC,Southern India,earthquake,isc_1763705,isc,,,,,,,,,
3523380,2001-01-26 18:44:57.700000+00:00,23.329,71.251,5.0,NDI,NDI,NDI,4427675,ML,3.7,NDI,Southern India,earthquake,isc_3523380,isc,,,,,,,,,
3009588,2001-01-26 19:10:57.916000+00:00,23.6416,70.309,35.0,ISC,ISC,ISC,4494292,mb,4.1,ISC,Southern India,earthquake,isc_3009588,isc,,,,,,,,,
3523388,2001-01-26 20:57:21+00:00,23.628,70.551,5.0,NDI,NDI,NDI,4427680,ML,3.6,NDI,Southern India,earthquake,isc_3523388,isc,,,,,,,,,
3523390,2001-01-26 21:49:59.100000+00:00,23.285,70.911,5.0,NDI,NDI,NDI,4427681,ML,3.7,NDI,Southern India,earthquake,isc_3523390,isc,,,,,,,,,
3523392,2001-01-26 22:04:18.100000+00:00,23.334,70.093,33.0,NDI,NDI,NDI,4427682,ML,3.5,NDI,Southern India,earthquake,isc_3523392,isc,,,,,,,,,
3523400,2001-01-27 00:58:52.700000+00:00,23.439,70.407,6.8,NDI,NDI,NDI,4427686,ML,3.6,NDI,Southern India,earthquake,isc_3523400,isc,,,,,,,,,
3523402,2001-01-27 01:27:35.200000+00:00,23.571,70.17,5.0,NDI,NDI,NDI,4427687,ML,3.5,NDI,Southern India,earthquake,isc_3523402,isc,,,,,,,,,
3409561,2001-01-27 01:34:57.400000+00:00,23.566,70.257,5.0,NDI,NDI,NDI,4327232,ML,3.6,NDI,Southern India,earthquake,isc_3409561,isc,,,,,,,,,
3523404,2001-01-27 01:47:11.100000+00:00,23.607,70.248,5.0,NDI,NDI,NDI,4427688,ML,3.7,NDI,Southern India,earthquake,isc_3523404,isc,,,,,,,,,
3409563,2001-01-27 02:56:32+00:00,23.332,70.392,15.0,NDI,NDI,NDI,4327233,ML,3.6,NDI,Southern India,earthquake,isc_3409563,isc,,,,,,,,,
2040243,2001-01-27 03:33:37.868000+00:00,23.3924,70.5288,15.0,ISC,ISC,ISC,4494332,mb,4.14,ISC,Southern India,earthquake,isc_2040243,isc,,,,,,,,,
1763707,2001-01-27 03:50:03.413000+00:00,23.4369,70.5589,19.7,ISC,ISC,ISC,4494333,MS,4.05,ISC,Southern India,earthquake,isc_1763707,isc,,,,,,,,,
3523412,2001-01-27 04:10:13.700000+00:00,23.357,70.363,13.5,NDI,NDI,NDI,4427694,ML,4.0,NDI,Southern India,earthquake,isc_3523412,isc,,,,,,,,,
3523414,2001-01-27 04:15:16+00:00,23.412,70.244,2.3,NDI,NDI,NDI,4427695,ML,4.3,NDI,Southern India,earthquake,isc_3523414,isc,,,,,,,,,
1763709,2001-01-27 04:36:08.385000+00:00,23.5104,70.5755,15.0,ISC,ISC,ISC,4494338,MS,4.5,ISC,Southern India,earthquake,isc_1763709,isc,,,,,,,,,
3523420,2001-01-27 05:28:43.500000+00:00,24.023,70.02,17.3,NDI,NDI,NDI,4427699,ML,3.5,NDI,India-Pakistan border region,earthquake,isc_3523420,isc,,,,,,,,,
3523424,2001-01-27 06:03:38.300000+00:00,23.061,70.207,15.0,NDI,NDI,NDI,4427701,ML,3.7,NDI,Southern India,earthquake,isc_3523424,isc,,,,,,,,,
3523428,2001-01-27 08:57:54.300000+00:00,23.513,70.371,5.0,NDI,NDI,NDI,4427703,ML,3.7,NDI,Southern India,earthquake,isc_3523428,isc,,,,,,,,,
3523432,2001-01-27 09:46:43.800000+00:00,23.03,70.061,5.0,NDI,NDI,NDI,4427705,ML,3.6,NDI,Southern India,earthquake,isc_3523432,isc,,,,,,,,,
3523434,2001-01-27 09:50:31.600000+00:00,23.406,70.241,5.0,NDI,NDI,NDI,4427706,ML,3.8,NDI,Southern India,earthquake,isc_3523434,isc,,,,,,,,,
1763717,2001-01-27 11:24:24.551000+00:00,23.3531,70.6117,14.5,ISC,ISC,ISC,4494371,mb,4.63,ISC,Southern India,earthquake,isc_1763717,isc,,,,,,,,,
3523442,2001-01-27 11:47:47.900000+00:00,23.619,70.347,5.0,NDI,NDI,NDI,4427711,ML,3.4,NDI,Southern India,earthquake,isc_3523442,isc,,,,,,,,,
3523450,2001-01-27 15:20:56.200000+00:00,23.429,70.437,15.4,NDI,NDI,NDI,4427715,ML,3.2,NDI,Southern India,earthquake,isc_3523450,isc,,,,,,,,,
3523452,2001-01-27 15:40:00.700000+00:00,23.718,70.094,15.0,NDI,NDI,NDI,4427716,ML,3.3,NDI,Southern India,earthquake,isc_3523452,isc,,,,,,,,,
3523454,2001-01-27 16:06:16.200000+00:00,23.522,70.165,5.0,NDI,NDI,NDI,4427717,ML,3.1,NDI,Southern India,earthquake,isc_3523454,isc,,,,,,,,,
3523466,2001-01-27 19:38:44+00:00,23.107,70.207,14.0,NDI,NDI,NDI,4427723,ML,3.0,NDI,Southern India,earthquake,isc_3523466,isc,,,,,,,,,
3523468,2001-01-27 19:59:26.100000+00:00,23.401,70.423,5.0,NDI,NDI,NDI,4427724,ML,3.0,NDI,Southern India,earthquake,isc_3523468,isc,,,,,,,,,
3523474,2001-01-27 23:51:54.100000+00:00,24.213,70.126,33.0,NDI,NDI,NDI,4427727,ML,3.6,NDI,India-Pakistan border region,earthquake,isc_3523474,isc,,,,,,,,,
1763725,2001-01-28 01:02:13.668000+00:00,23.5101,70.5602,14.9,ISC,ISC,ISC,4494413,MW,5.75,GCMT,Southern India,earthquake,isc_1763725,isc,,,,,,,,,
3009927,2001-01-28 01:21:17.176000+00:00,23.8895,70.2371,35.0,ISC,ISC,ISC,4494415,mb,4.1,ISC,Southern India,earthquake,isc_3009927,isc,,,,,,,,,
3009965,2001-01-28 03:18:04.314000+00:00,23.4678,70.6689,15.0,ISC,ISC,ISC,4494422,MW,3.9,NDI,Southern India,earthquake,isc_3009965,isc,,,,,,,,,
1763729,2001-01-28 03:26:14.409000+00:00,23.3848,70.1663,18.4,ISC,ISC,ISC,4494424,MS,3.6,ISC,Southern India,earthquake,isc_1763729,isc,,,,,,,,,
3523486,2001-01-28 06:19:48.100000+00:00,23.452,70.388,15.0,NDI,NDI,NDI,4427736,ML,3.5,NDI,Southern India,earthquake,isc_3523486,isc,,,,,,,,,
3523494,2001-01-28 08:23:33.100000+00:00,23.741,70.386,1.4,NDI,NDI,NDI,4427740,ML,3.3,NDI,Southern India,earthquake,isc_3523494,isc,,,,,,,,,
3010016,2001-01-28 10:02:29.549000+00:00,23.451,70.2928,15.0,ISC,ISC,ISC,4494454,mb,3.64,ISC,Southern India,earthquake,isc_3010016,isc,,,,,,,,,
3010018,2001-01-28 10:43:39.044000+00:00,23.2956,70.242,15.0,ISC,ISC,ISC,4494455,mb,3.73,ISC,Southern India,earthquake,isc_3010018,isc,,,,,,,,,
1763733,2001-01-28 11:10:46.195000+00:00,23.3223,70.4098,15.0,ISC,ISC,ISC,4494460,MW,5.34,GCMT,Southern India,earthquake,isc_1763733,isc,,,,,,,,,
3523510,2001-01-28 13:34:12.900000+00:00,23.451,70.318,15.0,NDI,NDI,NDI,4427751,ML,3.0,NDI,Southern India,earthquake,isc_3523510,isc,,,,,,,,,
3409581,2001-01-28 16:03:06.600000+00:00,23.616,70.189,15.0,NDI,NDI,NDI,4327248,ML,3.3,NDI,Southern India,earthquake,isc_3409581,isc,,,,,,,,,
1763737,2001-01-28 17:15:27.016000+00:00,23.2529,70.1733,19.3,ISC,ISC,ISC,4494489,MS,3.97,ISC,Southern India,earthquake,isc_1763737,isc,,,,,,,,,
3523518,2001-01-28 17:25:38.700000+00:00,23.618,70.234,15.0,NDI,NDI,NDI,4427756,ML,3.4,NDI,Southern India,earthquake,isc_3523518,isc,,,,,,,,,
2754224,2001-01-28 18:03:45.154000+00:00,23.5891,70.6476,14.0,ISC,ISC,ISC,4494496,mb,3.95,ISC,Southern India,earthquake,isc_2754224,isc,,,,,,,,,
1763741,2001-01-28 19:31:59.587000+00:00,23.2967,70.492,27.5,ISC,ISC,ISC,4494501,mb,4.03,ISC,Southern India,earthquake,isc_1763741,isc,,,,,,,,,
3267503,2001-01-28 19:42:22.083000+00:00,23.4772,70.1918,19.5,ISC,ISC,ISC,4494504,MS,3.63,ISC,Southern India,earthquake,isc_3267503,isc,,,,,,,,,
2754230,2001-01-28 19:43:04.712000+00:00,23.6094,71.3223,35.0,ISC,ISC,ISC,4494505,mb,3.8,ISC,Southern India,earthquake,isc_2754230,isc,,,,,,,,,
3267507,2001-01-28 20:54:08.496000+00:00,23.456,70.4168,15.0,ISC,ISC,ISC,4494515,mb,3.64,ISC,Southern India,earthquake,isc_3267507,isc,,,,,,,,,
3010205,2001-01-28 23:31:09.476000+00:00,23.4728,70.2846,15.0,ISC,ISC,ISC,4494540,mb,3.82,ISC,Southern India,earthquake,isc_3010205,isc,,,,,,,,,
1763745,2001-01-29 01:39:05.554000+00:00,23.3843,70.1805,15.0,ISC,ISC,ISC,4494554,MS,3.74,ISC,Southern India,earthquake,isc_1763745,isc,,,,,,,,,
3523541,2001-01-29 04:25:40.200000+00:00,23.544,70.299,15.0,NDI,NDI,NDI,4427774,ML,3.7,NDI,Southern India,earthquake,isc_3523541,isc,,,,,,,,,
3523545,2001-01-29 07:34:47+00:00,23.482,70.01,12.8,NDI,NDI,NDI,4427776,ML,3.6,NDI,Southern India,earthquake,isc_3523545,isc,,,,,,,,,
1763749,2001-01-29 09:38:46.764000+00:00,23.5837,70.5205,17.1,ISC,ISC,ISC,4494589,MS,3.69,ISC,Southern India,earthquake,isc_1763749,isc,,,,,,,,,
3523553,2001-01-29 12:44:23.800000+00:00,23.21,70.15,33.0,NDI,NDI,NDI,4427781,ML,3.5,NDI,Southern India,earthquake,isc_3523553,isc,,,,,,,,,
3409592,2001-01-29 16:16:44.900000+00:00,23.185,70.111,30.9,NDI,NDI,NDI,4327257,ML,3.1,NDI,Southern India,earthquake,isc_3409592,isc,,,,,,,,,
2754322,2001-01-29 19:14:55.350000+00:00,23.4758,70.5306,15.0,ISC,ISC,ISC,4494628,mb,4.01,ISC,Southern India,earthquake,isc_2754322,isc,,,,,,,,,
2754324,2001-01-29 19:17:58.202000+00:00,23.4687,70.1328,28.1,ISC,ISC,ISC,4494629,MS,3.49,ISC,Southern India,earthquake,isc_2754324,isc,,,,,,,,,
3523570,2001-01-29 20:16:43+00:00,23.506,70.308,5.0,NDI,NDI,NDI,4427793,ML,3.3,NDI,Southern India,earthquake,isc_3523570,isc,,,,,,,,,
1763765,2001-01-29 23:54:59.452000+00:00,23.4966,70.3755,7.3,ISC,ISC,ISC,4494656,mb,4.6,ISC,Southern India,earthquake,isc_1763765,isc,,,,,,,,,
3523576,2001-01-30 00:17:01.500000+00:00,23.465,70.257,15.0,NDI,NDI,NDI,4427797,ML,3.1,NDI,Southern India,earthquake,isc_3523576,isc,,,,,,,,,
2754372,2001-01-30 03:16:46.006000+00:00,23.4159,70.3553,19.0,ISC,ISC,ISC,4494681,mb,4.31,ISC,Southern India,earthquake,isc_2754372,isc,,,,,,,,,
3523582,2001-01-30 07:04:47.300000+00:00,23.376,70.435,11.7,NDI,NDI,NDI,4427801,ML,3.6,NDI,Southern India,earthquake,isc_3523582,isc,,,,,,,,,
3523584,2001-01-30 07:15:16.200000+00:00,22.339,70.373,33.0,NDI,NDI,NDI,4427802,ML,3.9,NDI,Southern India,earthquake,isc_3523584,isc,,,,,,,,,
3523586,2001-01-30 07:25:02.500000+00:00,23.625,70.059,15.0,NDI,NDI,NDI,4427803,ML,3.2,NDI,Southern India,earthquake,isc_3523586,isc,,,,,,,,,
3523588,2001-01-30 08:22:18.400000+00:00,23.707,70.072,5.0,NDI,NDI,NDI,4427804,ML,3.5,NDI,Southern India,earthquake,isc_3523588,isc,,,,,,,,,
3523590,2001-01-30 08:42:25.800000+00:00,23.224,70.138,5.0,NDI,NDI,NDI,4427805,ML,3.4,NDI,Southern India,earthquake,isc_3523590,isc,,,,,,,,,
3523592,2001-01-30 09:54:54.700000+00:00,23.352,70.469,5.0,NDI,NDI,NDI,4427806,ML,3.5,NDI,Southern India,earthquake,isc_3523592,isc,,,,,,,,,
3523594,2001-01-30 10:45:52.500000+00:00,23.51,70.445,6.5,NDI,NDI,NDI,4427807,ML,3.7,NDI,Southern India,earthquake,isc_3523594,isc,,,,,,,,,
3523596,2001-01-30 14:14:08.100000+00:00,23.321,70.096,24.7,NDI,NDI,NDI,4427808,ML,3.1,NDI,Southern India,earthquake,isc_3523596,isc,,,,,,,,,
3523600,2001-01-30 17:33:49.200000+00:00,23.297,70.253,5.0,NDI,NDI,NDI,4427810,ML,3.5,NDI,Southern India,earthquake,isc_3523600,isc,,,,,,,,,
1763783,2001-01-30 18:19:59.455000+00:00,23.3956,70.4121,17.2,ISC,ISC,ISC,4494737,MS,3.88,ISC,Southern India,earthquake,isc_1763783,isc,,,,,,,,,
3523604,2001-01-30 19:40:33.400000+00:00,23.324,70.318,15.0,NDI,NDI,NDI,4427813,ML,3.3,NDI,Southern India,earthquake,isc_3523604,isc,,,,,,,,,
1763787,2001-01-31 01:56:09.104000+00:00,23.4759,70.1178,15.0,ISC,ISC,ISC,4494766,MS,3.62,ISC,Southern India,earthquake,isc_1763787,isc,,,,,,,,,
3523611,2001-01-31 02:31:26+00:00,23.627,70.268,15.0,NDI,NDI,NDI,4427817,ML,3.5,NDI,Southern India,earthquake,isc_3523611,isc,,,,,,,,,
1763791,2001-01-31 03:34:58.796000+00:00,23.3988,70.476,15.0,ISC,ISC,ISC,4494773,MS,3.64,ISC,Southern India,earthquake,isc_1763791,isc,,,,,,,,,
2754455,2001-01-31 04:41:10.042000+00:00,23.4525,70.123,15.0,ISC,ISC,ISC,4494781,mb,3.97,ISC,Southern India,earthquake,isc_2754455,isc,,,,,,,,,
3523619,2001-01-31 05:12:35.900000+00:00,23.475,70.068,20.1,NDI,NDI,NDI,4427823,ML,3.4,NDI,Southern India,earthquake,isc_3523619,isc,,,,,,,,,
1763795,2001-01-31 07:32:35.148000+00:00,23.4666,70.3739,15.0,ISC,ISC,ISC,4494793,mb,4.32,ISC,Southern India,earthquake,isc_1763795,isc,,,,,,,,,
3523623,2001-01-31 08:38:21.700000+00:00,23.591,70.169,15.0,NDI,NDI,NDI,4427826,ML,3.9,NDI,Southern India,earthquake,isc_3523623,isc,,,,,,,,,
1763797,2001-01-31 09:42:23.791000+00:00,23.4292,70.6286,7.5,ISC,ISC,ISC,4494802,MS,3.94,ISC,Southern India,earthquake,isc_1763797,isc,,,,,,,,,
3523627,2001-01-31 11:21:40.100000+00:00,23.773,70.049,15.0,NDI,NDI,NDI,4427829,ML,3.8,NDI,Southern India,earthquake,isc_3523627,isc,,,,,,,,,
3523629,2001-01-31 13:06:39.700000+00:00,23.465,70.441,3.3,NDI,NDI,NDI,4427830,ML,3.9,NDI,Southern India,earthquake,isc_3523629,isc,,,,,,,,,
3409608,2001-01-31 13:37:40.300000+00:00,23.273,70.22,15.0,NDI,NDI,NDI,4327272,ML,3.6,NDI,Southern India,earthquake,isc_3409608,isc,,,,,,,,,
3267807,2001-01-31 15:36:17.453000+00:00,23.4241,70.4682,15.0,ISC,ISC,ISC,4494842,mb,3.64,ISC,Southern India,earthquake,isc_3267807,isc,,,,,,,,,
3523633,2001-01-31 17:03:27.600000+00:00,23.562,70.232,15.0,NDI,NDI,NDI,4427832,ML,3.3,NDI,Southern India,earthquake,isc_3523633,isc,,,,,,,,,
2040619,2001-01-31 23:36:12.906000+00:00,23.3596,70.2923,15.0,ISC,ISC,ISC,4494884,MS,3.56,ISC,Southern India,earthquake,isc_2040619,isc,,,,,,,,,
3523640,2001-02-01 07:36:50.800000+00:00,23.287,70.283,6.5,NDI,NDI,NDI,4427836,ML,3.6,NDI,Southern India,earthquake,isc_3523640,isc,,,,,,,,,
3523642,2001-02-01 08:42:14.400000+00:00,23.638,70.347,15.0,NDI,NDI,NDI,4427837,ML,3.3,NDI,Southern India,earthquake,isc_3523642,isc,,,,,,,,,
3523644,2001-02-01 10:33:52.900000+00:00,23.405,70.378,15.0,NDI,NDI,NDI,4427838,ML,3.3,NDI,Southern India,earthquake,isc_3523644,isc,,,,,,,,,
3510191,2001-02-01 12:09:56.600000+00:00,23.445,70.118,4.4,NDI,NDI,NDI,4414889,ML,3.0,NDI,Southern India,earthquake,isc_3510191,isc,,,,,,,,,
3523646,2001-02-01 17:17:04.500000+00:00,23.421,70.011,7.7,NDI,NDI,NDI,4427839,ML,3.1,NDI,Southern India,earthquake,isc_3523646,isc,,,,,,,,,
3523648,2001-02-01 18:24:29.100000+00:00,23.479,70.111,26.8,NDI,NDI,NDI,4427840,ML,3.3,NDI,Southern India,earthquake,isc_3523648,isc,,,,,,,,,
3523650,2001-02-01 19:22:19.200000+00:00,23.735,70.333,15.0,NDI,NDI,NDI,4427841,ML,3.0,NDI,Southern India,earthquake,isc_3523650,isc,,,,,,,,,
3523652,2001-02-01 19:32:27.800000+00:00,23.472,70.382,15.0,NDI,NDI,NDI,4427842,ML,3.2,NDI,Southern India,earthquake,isc_3523652,isc,,,,,,,,,
2735452,2001-02-01 20:50:55.642000+00:00,23.4197,70.6087,16.7,ISC,ISC,ISC,4520217,MW,4.1,NDI,Southern India,earthquake,isc_2735452,isc,,,,,,,,,
2735456,2001-02-01 21:07:03.752000+00:00,23.4974,70.4955,15.0,ISC,ISC,ISC,4520220,mb,4.03,ISC,Southern India,earthquake,isc_2735456,isc,,,,,,,,,
2735481,2001-02-01 22:20:53.417000+00:00,23.2774,70.51,22.6,ISC,ISC,ISC,4520230,MW,4.2,NDI,Southern India,earthquake,isc_2735481,isc,,,,,,,,,
1763853,2001-02-01 22:29:37.241000+00:00,23.5496,70.3069,15.0,ISC,ISC,ISC,4520232,mb,4.36,ISC,Southern India,earthquake,isc_1763853,isc,,,,,,,,,
3523661,2001-02-01 23:04:59.200000+00:00,23.472,70.181,15.0,NDI,NDI,NDI,4427850,ML,3.4,NDI,Southern India,earthquake,isc_3523661,isc,,,,,,,,,
3523665,2001-02-02 10:09:11.700000+00:00,23.501,70.126,5.0,NDI,NDI,NDI,4427852,ML,3.3,NDI,Southern India,earthquake,isc_3523665,isc,,,,,,,,,
3523667,2001-02-02 11:39:12.100000+00:00,23.522,70.361,3.2,NDI,NDI,NDI,4427853,ML,3.5,NDI,Southern India,earthquake,isc_3523667,isc,,,,,,,,,
3523669,2001-02-02 14:20:45.600000+00:00,23.518,70.212,15.0,NDI,NDI,NDI,4427854,ML,3.3,NDI,Southern India,earthquake,isc_3523669,isc,,,,,,,,,
3268051,2001-02-02 17:10:53.549000+00:00,23.5274,70.2727,15.0,ISC,ISC,ISC,4520341,mb,3.81,ISC,Southern India,earthquake,isc_3268051,isc,,,,,,,,,
3523677,2001-02-02 19:06:56.100000+00:00,23.405,70.411,15.0,NDI,NDI,NDI,4427859,ML,3.1,NDI,Southern India,earthquake,isc_3523677,isc,,,,,,,,,
3523679,2001-02-02 19:58:37.300000+00:00,23.431,70.153,13.7,NDI,NDI,NDI,4427860,ML,3.1,NDI,Southern India,earthquake,isc_3523679,isc,,,,,,,,,
3523681,2001-02-02 20:02:34.700000+00:00,23.363,70.355,22.1,NDI,NDI,NDI,4427861,ML,3.1,NDI,Southern India,earthquake,isc_3523681,isc,,,,,,,,,
3523683,2001-02-03 01:37:28.900000+00:00,23.36,70.387,3.9,NDI,NDI,NDI,4427862,ML,3.2,NDI,Southern India,earthquake,isc_3523683,isc,,,,,,,,,
1763873,2001-02-03 03:04:35.265000+00:00,23.6329,70.512,13.8,ISC,ISC,ISC,4520389,MW,4.9,NDI,Southern India,earthquake,isc_1763873,isc,,,,,,,,,
3011665,2001-02-03 04:00:29.377000+00:00,23.4469,70.457,15.0,ISC,ISC,ISC,4520391,mb,3.83,ISC,Southern India,earthquake,isc_3011665,isc,,,,,,,,,
